"NUTS_ID" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15"
"85" "SE32" 22966.3381820503 23601.8776657535 24194.8030403287 24814.1997701272 25497.9848330479 26185.8032437692 26865.622443682 27479.681355174 27991.7193096437 28400.7266216619 28835.0185162565 29166.7939589893 29374.6489528211 29474.4924672744 29550.2896394204
"86" "DK05" 22515.3568765659 23020.3387726254 23522.8635684344 23985.2199601222 24494.0384728687 25090.3144382342 25767.9970321202 26378.5851203104 26826.6980434496 27148.3815229326 27503.4095932026 27915.8152450333 28377.0859342862 28844.1786776173 29309.7167421969
"87" "DEB1" 19768.5897625906 20368.713808816 21021.863493027 21754.0702437984 22571.8673308209 23425.1367847773 24236.2618634193 24923.6039389339 25463.7224853612 25957.400346512 26575.2247685391 27238.5989421534 27888.8900950998 28525.2896243782 29180.766511773
"88" "NL21" 21960.5587437429 22481.6052917078 23024.9624406738 23647.8839449687 24451.6295684128 25417.7976436311 26439.7257723027 27343.9039331255 27950.4659812291 28248.5211424433 28427.1040856007 28571.4860967435 28682.6018082174 28829.9480768893 29021.8054703114
"89" "PT17" 22080.7772663236 22828.2445885171 23610.7875480989 24458.9626482944 25417.6003846333 26458.0972289181 27421.0335914102 28153.6943257437 28563.9989109275 28711.2757338512 28740.6133556562 28699.2962200676 28676.1106339055 28727.9555087793 28851.5520548733
"90" "FR71" 23096.7954762822 23581.2681151356 24050.2534777838 24539.2613896001 25139.7611195121 25808.9401141117 26449.6240408686 26947.2081489947 27243.1478411631 27431.3452162075 27694.7987183757 28035.491557322 28392.239147761 28762.1782552354 29127.6873816464
"91" "SE12" 21707.0072058906 22386.8950501958 23113.6617415585 23904.2829190049 24757.5483429119 25607.5625066153 26427.2221685854 27076.2140862338 27441.8694699986 27655.3252765202 27985.0193472397 28386.5374793545 28753.862374504 29031.1307376306 29265.8612937562
"92" "AT12" 20602.2728808791 21103.2657894241 21683.8950370284 22359.2744364436 23115.0945944965 23879.5622081831 24626.4688393799 25268.8760966542 25747.6105742724 26136.4786910363 26629.6691738641 27239.5341591083 27893.6787153029 28513.3824455248 29100.9363584023
"93" "SE22" 22685.0855152666 23268.148844385 23917.5984910607 24640.9169577495 25442.7709883374 26257.2806134705 27027.7225056611 27576.208439266 27704.4145877362 27617.8237742403 27649.212487909 27808.5054139946 28049.7532396838 28325.6457859245 28628.9123553147
"94" "DEF0" 20849.5440356922 21283.6087282971 21741.7463751912 22282.6525341363 22910.3433428635 23567.610533642 24179.5909038831 24676.6035656152 25040.2330862454 25351.8074626825 25798.2173980358 26382.0644013856 27058.2351981265 27768.4862094312 28509.2562247724
"95" "ITC3" 25232.743203421 25634.9231120494 25999.8641081305 26428.7395811888 26974.7446634484 27654.4761541429 28392.571706354 29024.9527885009 29356.7293959859 29381.0190780513 29305.8626805816 29198.337996973 29028.5847917287 28799.0087498364 28587.441989607
"96" "ITI1" 24794.2917630165 25099.7426368658 25374.1068286324 25682.3388343353 26077.536057412 26583.6216878066 27148.1131462771 27625.1483835326 27893.1672468778 28002.5858422522 28116.9135160948 28271.2458800843 28433.9723833243 28578.0831341047 28719.1326593837
"97" "SE21" 22074.792099249 22688.8153285263 23354.8718219237 24078.7843909973 24841.5963557951 25595.7455338058 26367.0143255907 26957.8658463023 27208.0409189985 27236.0218313288 27415.0043239031 27728.4206443186 28061.302348348 28358.133688673 28633.5905422397
"98" "DED5" 16511.0330777224 17232.1875242993 17967.5766784406 18726.2852438229 19522.585655572 20350.5447098026 21184.6154977373 21943.1639570305 22611.0175456989 23294.0974886339 24160.5622034153 25171.5145094413 26214.3672735641 27245.0910411247 28265.3575936942
"99" "FR82" 20999.7104470131 21627.5122507664 22223.3603829976 22798.8992120619 23426.035445035 24064.8519150628 24623.2657840853 25030.8179076326 25293.3266157814 25555.6793733867 25947.8313867789 26430.8291625463 26958.0661853927 27494.0032740144 28025.8106574449
"100" "ITH4" 25491.3381497127 25692.3110954365 25862.6699372061 26101.0307957979 26511.9826020349 27103.9493594127 27739.437855101 28216.3229787639 28390.1695632489 28353.9307648016 28330.1326095476 28292.6722012443 28178.6254261215 28006.2406182098 27829.1860433604
"101" "UKH1" 22580.3305793693 23520.1824278345 24447.1813836005 25361.2453655149 26222.7432710489 26918.2447391914 27330.6804855637 27308.0620675161 26933.492164709 26432.7835260001 26106.3901538937 26057.520686734 26276.3613382422 26663.8950122624 27140.8867985194
"102" "ES24" 19754.1792964039 20911.5912848042 22076.3345857799 23237.8859063376 24437.5084197594 25646.403554313 26749.7713911049 27529.3874425515 27823.0637984923 27719.9105579585 27481.3476122226 27237.609163284 27073.9137951861 27037.462625847 27083.6305659551
"103" "ITC1" 25457.7160397598 25799.0025484515 26115.0544907816 26476.7968926364 26920.7460613769 27439.1308015427 27940.8605478525 28264.5838067788 28306.4113971371 28160.1207286588 28062.4633875331 27984.5716433638 27855.5836237495 27687.1059933504 27529.8520370271
"104" "ES23" 21046.0271926252 21904.1230271113 22770.8545107775 23654.1976084658 24582.7915632939 25544.6040010253 26434.355897296 27043.6315875782 27238.5184637768 27102.1228637841 26871.388171288 26670.9181117713 26581.8943033103 26642.1514660982 26812.4212317983
"105" "NL23" 20508.907558061 21308.8647190402 22139.3966707296 23061.6598487931 24114.5072215776 25246.9261816234 26309.5829660183 27033.6356227901 27260.7089254041 27147.0459476787 27015.1763353681 26940.1023825977 26930.3981698339 26988.2213963277 27094.8660541564
"106" "NL34" 19508.2001387505 20206.8922649211 20936.2723688917 21693.9256660748 22535.6337928601 23470.1502790657 24452.5272476519 25346.5927769283 25959.7705855804 26300.0295479853 26605.7752448269 26875.4085291118 27074.406214674 27236.1797506898 27398.2355919876
